Timestamp,Your Name (English or Mandarin OK),"Paper Citation (citation format, as sent to you)",PMID (if applicable),"Is this an original study of heart failure, and not a review paper, clinical device study, or protocol paper?
",Is this a study of human adults? ,"How is heart failure defined in the study? 

Possible answers include medical chart review, EKG, NYHA I-III, or did not specify. ",Country of Study Population ,"Does this study include an untargeted metabolomics measure? For example, LCMS, GCMS, NMR.

If no, select ""No"" then skip the rest of this form, and click submit. ",What type of metabolomics is included in this study,What type of sample is used for metabolomics in this study?,"Does this study measure, or sequence, the microbiome?","If it did measure the microbiome, please briefly provide the body site samples and sequencing method (eg, 16S stool)","Is the metabolomics data from this study publicly available? 

In the data availability statement, it should say if the data was uploaded to a general repository or national library. If it says ""data available upon request"", select no. ","Please copy and paste the data availability statement from the paper here. (Response might be ""No statement"")
","Representativeness of the exposed cohort
Does the study cohort represent heart failure patients in the real world? In other words, was sampling unbiased?
Select 0 or 1:
","Selection of the non-exposed cohort
Basically, are the controls recruited via the same method as those who had heart failure?
Select 0 or 1:
","Ascertainment of exposure
Enter 0 or 1:
Is there an unbiased/biological measure of the exposure? For us, exposure is heart failure status. ","Ascertainment of exposure done prospectively or retrospectively
Enter 0 or 1:
Are patients recruited retrospectively (after heart failure) or prospectively (before heart failure)?","Adjustment for confounding (rendering comparability of cohorts on the basis of the design or analysis)
Add points: Minimum 0, Maximum 2
Does the study mention that smoking, diabetes, or other confounding variables are the same across groups? Or do they use age- and smoking-matched controls? ","Assessment of outcome
Our outcome here is the details of the metabolomics.
Enter 0 or 1:",Do you have other comments or things you want me to know on this paper? ,"What is the number of participants in each condition in this study?

Only need to answer if this is a heart failure study in human adults with metabolomics measures. 

For examine,  HF n = 25; healthy control n = 22"
4/26/2024 13:53:25,Leise,Eur J Prev Cardiol. 2023 Sep 6;30(12):1274-1282. doi: 10.1093/eurjpc/zwad171.,37195998,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)","All-cause HF was defined using cohort-specific definitions. In detail, the HF was defined according to the pheCodes or ICD9/10 codes, or the physician diagnosis or adjudication, or both; in some of the studies, the HF was validated by cardiac imaging or treatment for HF. The detailed information was listed in Supplementary material online, Table S2.",China,"No, does not measure metabolomics or does not apply",,,No,,Yes,"The study used GWAS summary data from the Dutch Microbiome Project, the UK Biobank, and a multiancestry GWAS meta-analysis of all-cause HF assembled from large consortia and medical biobanks (HERMES, Penn Medicine Biobank, eMERGE, Mount Sinai BioMe, Geisinger DiscovEHR, FinnGen, and the Global Biobank Meta-analysis Initiative). The data underlying this article are available in https://dutchmicrobiomeproject.molgeniscloud.org/, https://biobank.ndph.ox.ac.uk/showcase/label.cgi?id=220, and https://zenodo.org/record/7181277#.Y4tvOnZBwuU, respectively.",,,,,,,This is an HF study using meta-analysis.,
4/2/2024 14:28:09,EW,Curr Hypertens Rep. 2023 Aug;25(8):173-184. doi: 10.1007/s11906-023-01245-5. Epub 2023 May 23.,37219766,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","no, animal model / cell experiement",,,,,,,,,,,,,,,,,
4/26/2024 15:17:21,Leise,Curr Hypertens Rep. 2023 Aug;25(8):173-184. doi: 10.1007/s11906-023-01245-5. Epub 2023 May 23.,37219766,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 15:52:23,EW,Drug Des Devel Ther. 2023 May 18;17:1495-1502. doi: 10.2147/DDDT.S404479. eCollection 2023.,37223722,"No, surgical, protocol, or intervention study or randomized control trial about heart failure","yes, human adult study (or combination human + animal)","atients with heart failure and EF > 40%, New York Heart Association classification (NYHA) class II–IV and evidence of structural heart disease (ie left ventricular hypertrophy or left atrial enlargement by the recent echocardiogram within the last 12 months before enrollment) NT-proBNP ≥ 300 pg/mL for patients without AF, or ≥ 600 pg/mL for patients with atrial fibrillation (AF)",united states,"No, does not measure metabolomics",,,Yes,,,,,,,,,,,
5/7/2024 12:57:50,Kiramat Ullah,Drug Des Devel Ther. 2023 May 18;17:1495-1502. doi: 10.2147/DDDT.S404479. eCollection 2023.,37223722,"No, surgical, protocol, or intervention study or randomized control trial about heart failure","yes, human adult study (or combination human + animal)",(NYHA) class II–IV,China,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,HF 100
4/2/2024 15:49:37,EW,Int J Mol Sci. 2023 May 22;24(10):9087. doi: 10.3390/ijms24109087.,37240434,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.",,,,,,,,,,,,,,,,,,
5/7/2024 9:05:00,Kiramat Ullah,Int J Mol Sci. 2023 May 22;24(10):9087. doi: 10.3390/ijms24109087.,37240434,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/2/2024 13:17:44,EW,J Nutr Biochem. 2023 Oct;120:109370. doi: 10.1016/j.jnutbio.2023.109370. Epub 2023 May 26.,37245797,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","yes, human study",,,"Yes, measures untargetted metabolomics",,,,,,,,,,,,,good review,
5/21/2024 8:32:19,Jack,J Nutr Biochem. 2023 Oct;120:109370. doi: 10.1016/j.jnutbio.2023.109370. Epub 2023 May 26.,37245797,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:30:52,EW,Phytomedicine. 2023 Jul 25;116:154867. doi: 10.1016/j.phymed.2023.154867. Epub 2023 May 18.,37257327,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.",,,,,,,,,,,,,,,,,,
4/26/2024 15:31:39,Leise,Phytomedicine. 2023 Jul 25;116:154867. doi: 10.1016/j.phymed.2023.154867. Epub 2023 May 18.,37257327,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 15:56:01,EW,Front Cell Infect Microbiol. 2023 May 16;13:1191936. doi: 10.3389/fcimb.2023.1191936. eCollection 2023.,37260696,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.",,,,,,,,,,,,,,,,,,
5/7/2024 14:25:11,Kiramat Ullah,Front Cell Infect Microbiol. 2023 May 16;13:1191936. doi: 10.3389/fcimb.2023.1191936. eCollection 2023,37260696,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/2/2024 14:25:58,EW,Phytomedicine. 2023 Aug;117:154885. doi: 10.1016/j.phymed.2023.154885. Epub 2023 May 22.,37302262,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","yes, human study",,,,,,,,,,,,,,,,meta analysis of western and TCM,
4/26/2024 15:16:05,Leise,Phytomedicine. 2023 Aug;117:154885. doi: 10.1016/j.phymed.2023.154885. Epub 2023 May 22.,37302262,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/26/2024 13:31:50,Leise,Eur J Prev Cardiol. 2023 Sep 6;30(12):1272-1273. doi: 10.1093/eurjpc/zwad200.,37314418,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 15:02:22,EW,J Adv Res. 2023 Jun 16:S2090-1232(23)00168-6. doi: 10.1016/j.jare.2023.06.005. Online ahead of print.,37330047,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics",ELISA,Serum,,,,,,,,,,,,
5/3/2024 14:17:10,Leise,J Adv Res. 2023 Jun 16:S2090-1232(23)00168-6. doi: 10.1016/j.jare.2023.06.005. Online ahead of print.,37330047,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 15:45:23,EW,Front Cardiovasc Med. 2023 Jun 2;10:1160030. doi: 10.3389/fcvm.2023.1160030. eCollection 2023.,37332580,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)","151 adults with stable symptomatic HF in New York Heart Association (NYHA) functional classes II and III and left ventricular ejection fraction (LVEF) <40%, were enrolled in the trial.",united states,"No, does not measure metabolomics",electrochemiluminescence immunoassay ,Other blood sample,Yes,stool V3V4 16S rRNA,No,no statement,1 = truly representative of the average patient in the community (any heart failure patient),1 = drawn from the same community as the exposed cohort (eg those hospitalized for other reasons),1 = biological test (eg EKG),1 = Prospectively,1 = study accounts/controls for other comorbidities (Diabetes),1 = objective measure (biological specimen used for metabolomics),,
5/3/2024 14:58:11,Leise,Front Cardiovasc Med. 2023 Jun 2;10:1160030. doi: 10.3389/fcvm.2023.1160030. eCollection 2023.,37332580,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:09:17,EW,Eur Heart J. 2023 Aug 22;44(32):3085-3096. doi: 10.1093/eurheartj/ehad333.,37342006,"Yes, study of heart failure.",,,,"No, does not measure metabolomics","Stable isotope dilution mass spectrometry, targetted",,,,,,,,,,,,,
4/26/2024 14:26:55,Leise,Eur Heart J. 2023 Aug 22;44(32):3085-3096. doi: 10.1093/eurheartj/ehad333.,37342006,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",stable isotope dilution liquid chromatography (with/without tandem mass spectrometry),Plasma,,,,,,,,,,,About the study: Stable isotope dilution mass spectrometry methods to quantitatively measure aromatic amino acids and their metabolites were used to examine sequential subjects undergoing elective diagnostic cardiac evaluation in two independent cohorts with longitudinal outcome data [US (n = 4000) and EU (n = 833) cohorts].,
4/26/2024 15:14:46,Leise,Probiotics Antimicrob Proteins. 2023 Aug;15(4):1049-1061. doi: 10.1007/s12602-023-10105-2. Epub 2023 Jun 22.,37349622,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,It is a systematic study that included randomized controlled trials (RCTs) or clinical trials that examined the impact of probiotics supplementation on reducing cardiac remodeling in the condition of HF or high risk for developing HF such as post-MI.,
4/26/2024 15:54:49,Leise,Cell. 2023 Jul 6;186(14):3013-3032.e22. doi: 10.1016/j.cell.2023.05.039. Epub 2023 Jun 22.,37352855,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 15:12:28,EW,Nutrients. 2023 Jun 13;15(12):2728. doi: 10.3390/nu15122728.,37375632,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","yes, human adult study (or combination human + animal)",,,,,,,,,,,,,,,,,
5/3/2024 14:19:19,Leise,Nutrients. 2023 Jun 13;15(12):2728. doi: 10.3390/nu15122728.,37375632,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 15:03:34,EW,World J Gastroenterol. 2023 Jun 14;29(22):3400-3421. doi: 10.3748/wjg.v29.i22.3400.,37389240,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics",,,,,,,,,,,,,,
5/3/2024 14:18:07,Leise,World J Gastroenterol. 2023 Jun 14;29(22):3400-3421. doi: 10.3748/wjg.v29.i22.3400.,37389240,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 15:01:14,EW,Ann Transl Med. 2023 Jun 30;11(9):317. doi: 10.21037/atm-22-3521. Epub 2023 May 11.,37405000,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",22. The diagnosis of AMI was made with reference to the World Health Organization’s definition and the third universal definition of myocardial infarction  (acute miocardial infarction study),China,"No, does not measure metabolomics",,,Yes,stool 16S,,,,,,,,,,
5/3/2024 14:14:56,Leise,Ann Transl Med. 2023 Jun 30;11(9):317. doi: 10.21037/atm-22-3521. Epub 2023 May 11.,37405000,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/26/2024 15:57:43,Leise,JACC Heart Fail. 2023 Jul;11(7):838-844. doi: 10.1016/j.jchf.2023.05.009.,37407158,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 15:29:11,EW,Front Cardiovasc Med. 2023 Jun 6;10:1138352. doi: 10.3389/fcvm.2023.1138352. eCollection 2023.,37424923,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","yes, human adult study (or combination human + animal)",,,"Yes, measures untargetted metabolomics",,,,,,,,,,,,,"intervention study so no, but cohort might be useful ",
5/3/2024 14:50:36,Leise,Front Cardiovasc Med. 2023 Jun 6;10:1138352. doi: 10.3389/fcvm.2023.1138352. eCollection 2023.,37424923,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:45:26,EW,Folia Morphol (Warsz). 2023 Jul 11. doi: 10.5603/FM.a2023.0046. Online ahead of print.,37431150,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,,,,,,,,,,,,,,,
4/26/2024 15:52:03,Leise,Folia Morphol (Warsz). 2023 Jul 11. doi: 10.5603/FM.a2023.0046. Online ahead of print.,37431150,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
3/29/2024 16:51:12,EW,Acta Pharmacol Sin. 2023 Nov;44(11):2201-2215. doi: 10.1038/s41401-023-01126-2. Epub 2023 Jul 11.,37433872,"Yes, study of heart failure.","no, animal model / cell experiement",,,,,,,,,,,,,,,,,
5/6/2024 17:36:34,Jack,Acta Pharmacol Sin. 2023 Nov;44(11):2201-2215. doi: 10.1038/s41401-023-01126-2. Epub 2023 Jul 11.,37433872,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 12:49:47,EW,Chin Med J (Engl). 2023 Oct 5;136(19):2269-2284. doi: 10.1097/CM9.0000000000002206.,37442759,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","yes, human study",,,,,,,,,,,,,,,,good review paper!,
5/21/2024 8:31:09,Jack,Chin Med J (Engl). 2023 Oct 5;136(19):2269-2284. doi: 10.1097/CM9.0000000000002206.,37442759,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:39:42,EW,Sci Adv. 2023 Jul 14;9(28):eadg7417. doi: 10.1126/sciadv.adg7417. Epub 2023 Jul 14.,37450589,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"Yes, measures untargetted metabolomics",,,,,,,,,,,,,,
4/26/2024 15:40:24,Leise,Sci Adv. 2023 Jul 14;9(28):eadg7417. doi: 10.1126/sciadv.adg7417. Epub 2023 Jul 14.,37450589,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:21:58,EW,Pharmacol Res. 2023 Aug;194:106854. doi: 10.1016/j.phrs.2023.106854. Epub 2023 Jul 17.,37460003,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","no, animal model / cell experiement",,,"Yes, measures untargetted metabolomics",,Plasma,No,,,,,,,,,,,
4/26/2024 15:03:38,Leise,Pharmacol Res. 2023 Aug;194:106854. doi: 10.1016/j.phrs.2023.106854. Epub 2023 Jul 17.,37460003,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 13:53:26,EW,Life Sci. 2023 Sep 15;329:121947. doi: 10.1016/j.lfs.2023.121947. Epub 2023 Jul 16.,37463653,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","yes, human study",,,,,,,,,,,,,,,,,
4/26/2024 13:23:02,Leise,Life Sci. 2023 Sep 15;329:121947. doi: 10.1016/j.lfs.2023.121947. Epub 2023 Jul 16.,37463653,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:20:29,EW,J Chromatogr B Analyt Technol Biomed Life Sci. 2023 Aug 1;1228:123826. doi: 10.1016/j.jchromb.2023.123826. Epub 2023 Jul 17.,37481789,"Yes, study of heart failure.","yes, human study","patients admitted to hospital with acute HF symptoms, ii) patients with chronic HF symptoms",italy ,"Yes, measures untargetted metabolomics",,"testin a brand new deviceHiSorb, so probs not relevant for us",No,,No,"Data availability

Data will be made available on request.",,,,,,,,
4/26/2024 14:58:37,Leise,J Chromatogr B Analyt Technol Biomed Life Sci. 2023 Aug 1;1228:123826. doi: 10.1016/j.jchromb.2023.123826. Epub 2023 Jul 17.,37481789,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",did not specify,Italy,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",HiSorb-TD-GC–MS/MS,stimulated saliva samples,No,,No,Data will be made available on request.,1 = truly representative of the average patient in the community (any heart failure patient),1 = drawn from the same community as the exposed cohort (eg those hospitalized for other reasons),,0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),0 = no adjustment for or discussion of potential confounders,1 = objective measure (biological specimen used for metabolomics),,"i) patients admitted to hospital with acute HF symptoms (AHF, n = 11), ii) patients with chronic HF symptoms (CHF, n = 13), iii) patients without HF symptoms but with obesity (OB, n = 14), and iv) patients without HF symptoms but with hypertension (HTN, n = 16)."
4/2/2024 14:17:22,EW,Nat Commun. 2023 Aug 1;14(1):4622. doi: 10.1038/s41467-023-40216-x.,37528097,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","no, animal model / cell experiement",,,"No, does not measure metabolomics",,,,,,,,,,,,,,
4/26/2024 14:40:14,Leise,Nat Commun. 2023 Aug 1;14(1):4622. doi: 10.1038/s41467-023-40216-x.,37528097,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 13:56:01,EW,EMBO Mol Med. 2023 Sep 11;15(9):e17376. doi: 10.15252/emmm.202317376. Epub 2023 Aug 3.,37534622,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","no, animal model / cell experiement",,,,,,,,,,,,,,,,,
4/26/2024 13:26:22,Leise,EMBO Mol Med. 2023 Sep 11;15(9):e17376. doi: 10.15252/emmm.202317376. Epub 2023 Aug 3.,37534622,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:29:28,EW,Int J Mol Sci. 2023 Jul 26;24(15):11971. doi: 10.3390/ijms241511971.,37569352,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.",,,,,,,,,,,,,,,,,,
4/26/2024 15:28:44,Leise,Int J Mol Sci. 2023 Jul 26;24(15):11971. doi: 10.3390/ijms241511971.,37569352,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
3/29/2024 17:08:50,EW,Int J Cardiol. 2023 Oct 15;389:131261. doi: 10.1016/j.ijcard.2023.131261. Epub 2023 Aug 11.,37574027,"No, other study/review not about heart failure","yes, human study"," adjudicated major adverse cardiac events (MACE), defined as composite of myocardial infarction, stroke, clinically indicated revascularization, or death of any cause.",Switzerland ,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)","LCMS, liquid chromatography mass spectrometry,  stable isotope dilution high-performance liquid chromatography with online electrospray ionization tandem mass spectrometry. ",Plasma,No,,No,no statement at all,1 = truly representative of the average patient in the community (any heart failure patient),1 = drawn from the same community as the exposed cohort (eg those hospitalized for other reasons),1 = medical chart review,0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),"1 = study controls for any additional factor (other comorbidity, age, diet, etc)",1 = objective measure (biological specimen used for metabolomics),""" stable isotope dilution high-performance liquid chromatography with online electrospray ionization tandem mass spectrometry. """,
5/7/2024 10:46:55,Jack,Int J Cardiol. 2023 Oct 15;389:131261. doi: 10.1016/j.ijcard.2023.131261. Epub 2023 Aug 11.,37574027,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,Switzerland,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",stable isotope dilution liquid chromatography (with/without tandem mass spectrometry),Plasma,,,,,,,,,,,,
3/29/2024 16:54:19,EW,J Clin Transl Hepatol. 2023 Oct 28;11(5):1246-1255. doi: 10.14218/JCTH.2022.00122. Epub 2023 May 12.,37577236,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.",,,,,,,,,,,,,,,,,,
5/6/2024 17:45:04,Jack,J Clin Transl Hepatol. 2023 Oct 28;11(5):1246-1255. doi: 10.14218/JCTH.2022.00122. Epub 2023 May 12.,37577236,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:11:30,EW,Pulm Circ. 2023 Aug 13;13(3):e12277. doi: 10.1002/pul2.12277. eCollection 2023 Jul.,37583483,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.",,,,"No, does not measure metabolomics",,,,,,,,,,,,,,
4/26/2024 14:28:07,Leise,Pulm Circ. 2023 Aug 13;13(3):e12277. doi: 10.1002/pul2.12277. eCollection 2023 Jul.,37583483,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/23/2024 10:06:43,EW,10.3390/biomedicines11082313,37626809,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
3/29/2024 16:49:50,EW,J Ren Nutr. 2023 Nov;33(6S):S30-S39. doi: 10.1053/j.jrn.2022.12.004. Epub 2023 Aug 25.,37632511,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.",,,,,,,,,,,,,,,,,,
5/6/2024 17:30:31,Jack,J Ren Nutr. 2023 Nov;33(6S):S30-S39. doi: 10.1053/j.jrn.2022.12.004. Epub 2023 Aug 25.,37632511,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:07:18,EW,Interdiscip Nurs Res. 2023 Aug 29;2(2):83-91. doi: 10.1097/NR9.0000000000000024. eCollection 2023 May.,37645375,"Yes, study of heart failure.","yes, human study",,usa,"No, does not measure metabolomics",,,,,,,,,,,,,,
4/26/2024 14:08:27,Leise,Interdiscip Nurs Res. 2023 Aug 29;2(2):83-91. doi: 10.1097/NR9.0000000000000024. eCollection 2023 May.,37645375,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",New York Heart Association class I–IV,USA,"No, does not measure metabolomics or does not apply",,,Yes,16S stool,No,Deidentified data will be available upon reasonable request. Requests to access these data sets should be directed to jc22db@fsu.edu.,1 = truly representative of the average patient in the community (any heart failure patient),"0 = drawn from a different source (eg, nonhospitalized controls)",1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),"1 = study accounts/controls for other comorbidities (Diabetes,  age, smoking, etc.)",0 = no information or non-validated measures,,HF n = 10; healthy control n = 10
4/26/2024 12:09:26,Leise,J Pharm Biomed Anal. 2023 Nov 30;236:115693. doi: 10.1016/j.jpba.2023.115693. Epub 2023 Sep 4.,37696191,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/2/2024 14:14:48,EW,Future Cardiol. 2023 Aug;19(10):505-514. doi: 10.2217/fca-2023-0068. Epub 2023 Sep 18.,37721335,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.",,,,,,,,,,,,,,,,,,
4/26/2024 14:37:42,Leise,Future Cardiol. 2023 Aug;19(10):505-514. doi: 10.2217/fca-2023-0068. Epub 2023 Sep 18.,37721335,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
3/29/2024 16:10:49,EW,Am J Physiol Heart Circ Physiol. 2023 Dec 1;325(6):H1325-H1336. doi: 10.1152/ajpheart.00436.2023. Epub 2023 Sep 22.,37737730,"Yes, study of heart failure.","yes, human study", HF with a LVEF ≤ 45%,Australia ,"Yes, measures untargetted metabolomics","GCMS, gas chromatography mass spectrometry",Plasma,Yes,V3V4 16S stool,No,Data can be made available upon reasonable request to the corresponding author if permitted by relevant ethics committee.,1 = truly representative of the average patient in the community (any heart failure patient),1 = drawn from the same community as the exposed cohort (eg those hospitalized for other reasons),1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),1 = study accounts/controls for other comorbidities (Diabetes),1 = objective measure (biological specimen used for metabolomics),"""Plasma SCFA concentrations were analyzed using gas chromatography-mass spectrometry, as previously described (18)"" so not clear to me if untargetting metavolomics ",
4/26/2024 12:05:39,Leise,Am J Physiol Heart Circ Physiol. 2023 Dec 1;325(6):H1325-H1336. doi: 10.1152/ajpheart.00436.2023. Epub 2023 Sep 22.,37737730,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)", Inclusion criteria for patients with HF included men and women aged 35–85 yr presenting with LVEF ≤ 45% (based on echocardiographic evaluation).,Australia,"Yes, measures metabolomics, but confused about the type","LC-MS, liquid chromatography mass spectrometry, GC-MS, gas chromatography mass spectrometry, NMR, Nuclear magnetic resonance spectrometry","Fecal / Stool sample, Blood samples were collected via venepuncture, following an overnight fast, with plasma and/or serum separated via centrifugation.",Yes,16S stool,No,Data can be made available upon reasonable request to the corresponding author if permitted by relevant ethics committee.,1 = truly representative of the average patient in the community (any heart failure patient),"0 = drawn from a different source (eg, nonhospitalized controls)",1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),"1 = study accounts/controls for other comorbidities (Diabetes,  age, smoking, etc.)",1 = objective measure (biological specimen used for metabolomics),,HF n = 73; healthy control n = 59
4/2/2024 13:51:58,EW,Biomedicines. 2023 Sep 19;11(9):2574. doi: 10.3390/biomedicines11092574.,37761015,"No, review paper, randomized control trial, or other type of paper not collecting observational data or not about heart failure.","yes, human study",,,"No, does not measure metabolomics",,,No,,,,,,,,,,,
4/26/2024 13:20:29,Leise,Biomedicines. 2023 Sep 19;11(9):2574. doi: 10.3390/biomedicines11092574.,37761015,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/26/2024 13:24:34,Leise,Nutrients. 2023 Sep 14;15(18):3970. doi: 10.3390/nu15183970.,37764755,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/29/2024 21:36:33,YiChan Lee,Curr Probl Cardiol. 2024 Mar;49(3):102128. doi: 10.1016/j.cpcardiol.2023.102128. Epub 2023 Oct 5.,37802162,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,It's a review paper,
